cycle,pressure
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
24,7
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,7
35,7
36,7
37,7
38,7
39,7
40,7
41,7
42,7
43,7
44,7
45,7
46,7
47,7
48,7
49,7
50,7
51,7
52,7
53,7
54,7
55,7
56,7
57,7
58,7
59,7
60,7
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,7
72,7
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,7
89,7
90,7
91,7
92,7
93,7
94,7
95,7
96,7
97,7
98,7
99,7
100,7
101,7
102,7
103,7
104,6
105,6
106,6
107,5
108,5
109,4
110,4
111,5
112,6
113,6
114,7
115,7
116,6
117,6
118,6
119,6
120,6
121,4
122,5
123,6
124,7
125,6
126,7
127,7
128,6
129,6
130,5
131,4
132,4
133,5
134,6
135,6
136,7
137,7
138,6
139,6
140,6
141,6
142,6
143,4
144,5
145,6
146,7
147,6
148,7
149,8
150,7
151,6
152,6
153,5
154,4
155,4
156,5
157,6
158,6
159,7
160,7
161,6
162,6
163,6
164,6
165,6
166,4
167,5
168,6
169,7
170,6
171,7
172,8
173,7
174,6
175,6
176,5
177,4
178,4
179,5
180,6
181,6
182,7
183,7
184,6
185,6
186,6
187,6
188,6
189,4
190,4
191,5
192,6
193,6
194,7
195,7
196,6
197,6
198,6
199,6
200,6
201,4
202,5
203,6
204,7
205,6
206,7
207,7
208,6
209,6
210,5
211,4
212,4
213,5
214,6
215,6
216,7
217,7
218,6
219,6
220,6
221,6
222,6
223,4
224,5
225,6
226,7
227,6
228,7
229,8
230,7
231,6
232,6
233,5
234,4
235,4
236,5
237,6
238,6
239,7
240,7
241,6
242,6
243,6
244,6
245,6
246,4
247,5
248,6
249,7
250,6
251,7
252,8
253,7
254,6
255,6
256,5
257,4
258,4
259,5
260,6
261,6
262,7
263,7
264,6
265,6
266,6
267,6
268,6
269,4
270,4
271,5
272,6
273,6
274,7
275,7
276,6
277,6
278,6
279,6
280,6
281,4
282,4
283,5
284,6
285,6
286,7
287,7
288,6
289,6
290,6
291,6
292,6
293,4
294,5
295,6
296,7
297,6
298,7
299,8
300,7
301,6
302,6
303,5
304,4
305,4
306,5
307,6
308,6
309,7
310,7
311,6
312,6
313,6
314,6
315,6
316,4
317,5
318,6
319,7
320,6
321,7
322,7
323,6
324,6
325,5
326,4
327,4
328,5
329,6
330,6
331,7
332,7
333,6
334,6
335,6
336,6
337,6
338,4
339,4
340,5
341,6
342,6
343,7
344,7
345,6
346,6
347,6
348,6
349,6
350,4
351,5
352,6
353,7
354,6
355,7
356,8
357,7
358,6
359,6
360,5
361,4
362,4
363,5
364,6
365,6
366,7
367,7
368,6
369,6
370,6
371,6
372,6
373,4
374,5
375,6
376,7
377,6
378,7
379,7
380,6
381,6
382,5
383,4
384,4
385,5
386,6
387,6
388,7
389,7
390,6
391,6
392,6
393,6
394,6
395,4
396,4
397,5
398,6
399,6
400,7
401,7
402,6
403,6
404,6
405,6
406,6
407,4
408,4
409,5
410,6
411,6
412,7
413,7
414,6
415,6
416,6
417,6
418,6
419,4
420,4
421,5
422,6
423,6
424,7
425,7
426,6
427,6
428,6
429,6
430,6
431,4
432,4
433,5
434,6
435,6
436,7
437,7
438,6
439,6
440,6
441,6
442,6
443,4
444,4
445,5
446,6
447,6
448,7
449,7
450,6
451,6
452,6
453,6
454,6
455,4
456,4
457,5
458,6
459,6
460,7
461,7
462,6
463,6
464,6
465,6
466,6
467,4
468,5
469,6
470,7
471,6
472,7
473,8
474,7
475,6
476,6
477,5
478,4
479,4
480,5
481,6
482,6
483,7
484,7
485,6
486,6
487,6
488,6
489,6
490,4
491,4
492,5
493,6
494,6
495,7
496,7
497,6
498,6
499,6
500,6
501,6
502,4
503,5
504,6
505,7
506,6
507,7
508,8
509,7
510,6
511,6
512,5
513,4
514,4
515,5
516,6
517,6
518,7
519,7
520,6
521,6
522,6
523,6
524,6
525,4
526,5
527,6
528,7
529,6
530,7
531,7
532,6
533,6
534,5
535,4
536,4
537,5
538,6
539,6
540,7
541,7
542,6
543,6
544,6
545,6
546,6
547,4
548,4
549,5
550,6
551,6
552,7
553,7
554,6
555,6
556,6
557,6
558,6
559,4
560,5
561,6
562,7
563,6
564,7
565,8
566,7
567,6
568,6
569,5
570,4
571,4
572,5
573,6
574,6
575,7
576,7
577,6
578,6
579,6
580,6
581,6
582,4
583,4
584,5
585,6
586,6
587,7
588,7
589,6
590,6
591,6
592,6
593,6
594,4
595,5
596,6
597,7
598,6
599,7
600,7
601,6
602,6
603,5
604,4
605,4
606,5
607,6
608,6
609,7
610,7
611,6
612,6
613,6
614,6
615,6
616,4
617,5
618,6
619,7
620,6
621,7
622,7
623,6
624,6
625,5
626,4
627,4
628,5
629,6
630,6
631,7
632,7
633,6
634,6
635,6
636,6
637,6
638,4
639,4
640,5
641,6
642,6
643,7
644,7
645,6
646,6
647,6
648,6
649,6
650,4
651,5
652,6
653,7
654,6
655,7
656,8
657,7
658,6
659,6
660,5
661,4
662,4
663,5
664,6
665,6
666,7
667,7
668,6
669,6
670,6
671,6
672,6
673,4
674,5
675,6
676,7
677,6
678,7
679,7
680,6
681,6
682,5
683,4
684,4
685,5
686,6
687,6
688,7
689,7
690,6
691,6
692,6
693,6
694,6
695,4
696,4
697,5
698,6
699,6
700,7
701,7
702,6
703,6
704,6
705,6
706,6
707,4
708,4
709,5
710,6
711,6
712,7
713,7
714,6
715,6
716,6
717,6
718,6
719,4
720,4
721,5
722,6
723,6
724,7
725,7
726,6
727,6
728,6
729,6
730,6
731,4
732,4
733,5
734,6
735,6
736,7
737,7
738,6
739,6
740,6
741,6
742,6
743,4
744,4
745,5
746,6
747,6
748,7
749,7
750,6
751,6
752,6
753,6
754,6
755,4
756,4
757,5
758,6
759,6
760,7
761,7
762,6
763,6
764,6
765,6
766,6
767,4
768,5
769,6
770,7
771,6
772,7
773,8
774,7
775,6
776,6
777,5
778,4
779,4
780,5
781,6
782,5
783,5
784,4
785,3
786,2
787,2
788,0
789,0
790,0
